Index,Date,Open,High,Low,Close,Volume
SP500,2000-07-12,1480.88,1497.69,1480.88,1492.92,1001200000
SP500,2000-07-13,1492.92,1501.39,1489.65,1495.84,1026800000
SP500,2000-07-14,1495.84,1509.99,1494.56,1509.98,960600000
SP500,2000-07-17,1509.98,1517.32,1505.26,1510.49,906000000
SP500,2000-07-18,1510.49,1510.49,1491.35,1493.74,908300000
SP500,2000-07-19,1493.74,1495.63,1479.92,1481.96,909400000
SP500,2000-07-20,1481.96,1501.92,1481.96,1495.57,1064600000
SP500,2000-07-21,1495.57,1495.57,1477.91,1480.19,968300000
SP500,2000-07-24,1480.19,1485.88,1463.8,1464.29,880300000
SP500,2000-07-25,1464.29,1476.23,1464.29,1474.47,969400000
SP500,2000-07-26,1474.47,1474.47,1452.42,1452.42,1235800000
SP500,2000-07-27,1452.42,1464.91,1445.33,1449.62,1156400000
SP500,2000-07-28,1449.62,1456.68,1413.89,1419.89,980000000
SP500,2000-07-31,1419.89,1437.65,1418.71,1430.83,952600000
SP500,2000-08-01,1430.83,1443.54,1428.96,1438.1,938700000
SP500,2000-08-02,1438.1,1451.59,1433.49,1438.7,994500000
SP500,2000-08-03,1438.7,1454.19,1425.43,1452.56,1095600000
SP500,2000-08-04,1452.56,1462.93,1451.31,1462.93,956000000
SP500,2000-08-07,1462.93,1480.8,1460.72,1479.32,854800000
SP500,2000-08-08,1479.32,1484.52,1472.61,1482.8,992200000
SP500,2000-08-09,1482.8,1490.33,1471.16,1472.87,1054000000
SP500,2000-08-10,1472.87,1475.15,1459.89,1460.25,940800000
SP500,2000-08-11,1460.25,1475.72,1453.06,1471.84,835500000
SP500,2000-08-14,1471.84,1491.64,1468.56,1491.56,783800000
SP500,2000-08-15,1491.56,1493.12,1482.74,1484.43,895900000
SP500,2000-08-16,1484.43,1496.09,1475.74,1479.85,929800000
SP500,2000-08-17,1479.85,1499.32,1479.85,1496.07,922400000
SP500,2000-08-18,1496.07,1499.47,1488.99,1491.72,821400000
SP500,2000-08-21,1491.72,1502.84,1491.13,1499.48,731600000
SP500,2000-08-22,1499.48,1508.45,1497.42,1498.13,818800000
SP500,2000-08-23,1498.13,1507.2,1489.52,1505.97,871000000
SP500,2000-08-24,1505.97,1511.16,1501.25,1508.31,837100000
SP500,2000-08-25,1508.31,1513.47,1505.09,1506.45,685600000
SP500,2000-08-28,1506.45,1523.95,1506.45,1514.09,733600000
SP500,2000-08-29,1514.09,1514.81,1505.46,1509.84,795600000
SP500,2000-08-30,1509.84,1510.49,1500.09,1502.59,818400000
SP500,2000-08-31,1502.59,1525.21,1502.59,1517.68,1056600000
SP500,2000-09-01,1517.68,1530.09,1515.53,1520.77,767700000
SP500,2000-09-05,1520.77,1520.77,1504.21,1507.08,838500000
SP500,2000-09-06,1507.08,1512.61,1492.12,1492.25,995100000
SP500,2000-09-07,1492.25,1505.34,1492.25,1502.51,985500000
SP500,2000-09-08,1502.51,1502.51,1489.88,1494.5,961000000
SP500,2000-09-11,1494.5,1506.76,1483.01,1489.26,899300000
SP500,2000-09-12,1489.26,1496.93,1479.67,1481.99,991200000
SP500,2000-09-13,1481.99,1487.45,1473.61,1484.91,1068300000
SP500,2000-09-14,1484.91,1494.16,1476.73,1480.87,1014000000
SP500,2000-09-15,1480.87,1480.96,1460.22,1465.81,1268400000
SP500,2000-09-18,1465.81,1467.77,1441.92,1444.51,962500000
SP500,2000-09-19,1444.51,1461.16,1444.51,1459.9,1024900000
SP500,2000-09-20,1459.9,1460.49,1430.95,1451.34,1104000000
SP500,2000-09-21,1451.34,1452.77,1436.3,1449.05,1105400000
SP500,2000-09-22,1449.05,1449.05,1421.88,1448.72,1185500000
SP500,2000-09-25,1448.72,1457.42,1435.93,1439.03,982400000
SP500,2000-09-26,1439.03,1448.04,1425.25,1427.21,1106600000
SP500,2000-09-27,1427.21,1437.22,1419.44,1426.57,1174700000
SP500,2000-09-28,1426.57,1461.69,1425.78,1458.29,1206200000
SP500,2000-09-29,1458.29,1458.29,1436.29,1436.51,1197100000
SP500,2000-10-02,1436.52,1445.6,1429.83,1436.23,1051200000
SP500,2000-10-03,1436.23,1454.82,1425.28,1426.46,1098100000
SP500,2000-10-04,1426.46,1439.99,1416.31,1434.32,1167400000
SP500,2000-10-05,1434.32,1444.17,1431.8,1436.28,1176100000
SP500,2000-10-06,1436.28,1443.3,1397.06,1408.99,1150100000
SP500,2000-10-09,1408.99,1409.69,1392.48,1402.03,716600000
SP500,2000-10-10,1402.03,1408.83,1383.85,1387.02,1044000000
SP500,2000-10-11,1387.02,1387.02,1349.67,1364.59,1387500000
SP500,2000-10-12,1364.59,1374.93,1328.06,1329.78,1388600000
SP500,2000-10-13,1329.78,1374.17,1327.08,1374.17,1223900000
SP500,2000-10-16,1374.17,1379.48,1365.06,1374.62,1005400000
SP500,2000-10-17,1374.62,1380.99,1342.34,1349.97,1161500000
SP500,2000-10-18,1349.97,1356.65,1305.79,1342.13,1441700000
SP500,2000-10-19,1342.13,1389.93,1342.13,1388.76,1297900000
SP500,2000-10-20,1388.76,1408.47,1382.19,1396.93,1177400000
SP500,2000-10-23,1396.93,1406.96,1387.75,1395.78,1046800000
SP500,2000-10-24,1395.78,1415.64,1388.13,1398.13,1158600000
SP500,2000-10-25,1398.13,1398.13,1362.21,1364.9,1315600000
SP500,2000-10-26,1364.9,1372.72,1337.81,1364.44,1303800000
SP500,2000-10-27,1364.44,1384.57,1364.13,1379.58,1086300000
SP500,2000-10-30,1379.58,1406.36,1376.86,1398.66,1186500000
SP500,2000-10-31,1398.66,1432.22,1398.66,1429.4,1366400000
SP500,2000-11-01,1429.4,1429.6,1410.45,1421.22,1206800000
SP500,2000-11-02,1421.22,1433.4,1421.22,1428.32,1167700000
SP500,2000-11-03,1428.32,1433.21,1420.92,1426.69,997700000
SP500,2000-11-06,1428.76,1438.46,1427.72,1432.19,930900000
SP500,2000-11-07,1432.19,1436.22,1423.26,1431.87,880900000
SP500,2000-11-08,1431.87,1437.28,1408.78,1409.28,909300000
SP500,2000-11-09,1409.28,1409.28,1369.68,1400.14,1111000000
SP500,2000-11-10,1400.14,1400.14,1365.97,1365.98,962500000
SP500,2000-11-13,1365.98,1365.98,1328.62,1351.26,1129300000
SP500,2000-11-14,1351.26,1390.06,1351.26,1382.95,1118800000
SP500,2000-11-15,1382.95,1395.96,1374.75,1389.81,1066800000
SP500,2000-11-16,1389.81,1394.76,1370.39,1372.32,956300000
SP500,2000-11-17,1372.32,1384.85,1355.55,1367.72,1070400000
SP500,2000-11-20,1367.72,1367.72,1341.67,1342.62,955800000
SP500,2000-11-21,1342.62,1355.87,1333.62,1347.35,1137100000
